Nama;Gender;Bahasa;Inggris;TIK;Matematika;Fisika;Kimia;Biologi;Geografi;Sosiologi;Antropologi;Extra_Kurikuler;Tinggal_Dengan;Status_Kerja;Biaya;Tgl_Daftar_Kuliah;Alamat;UKM;Organisasi_Kampus;Lama_Kuliah;Fakultas
Abdul Hudson;Wanita;64,8;72,2;82,9;82,6;83,7;80,7;81;61,6;76,2;74,6;Ekskul_6;Kos;Bekerja;NA;2009;Bekasi;UKM_4;Ya;6,5;FIKOM
Abdul Hunt;Wanita;76,7;61,5;64,7;73,8;84;77;69,3;81,3;69,7;80,8;Ekskul_2;Orang Tua;Bekerja;Beasiswa;2007;Karawang;UKM_4;Tidak;3,5;FT
Abdul Irving;Wanita;73,3;61,4;66,3;69,1;76,3;86,7;82,5;69,7;64,9;80,6;Ekskul_2;NA;Belum;Beasiswa;2008;Jakarta;Tidak;Tidak;4;FT
Abdul James;Wanita;72,2;78,4;62;80,8;63,8;75;63,9;79,4;76,9;65,5;Ekskul_4;Kos;Bekerja;Orang Tua;2007;Serang;Tidak;Ya;7;FT
Abdul Kerr;Pria;72,7;71,1;78;66,4;62,5;85,1;85,4;85,8;87,1;88,5;Ekskul_2;Orang Tua;Bekerja;Beasiswa;2007;Karawang;UKM_1;Tidak;4;FISIP
Abdul Lloyd;Pria;63,5;68,9;79,2;83,6;65,2;81,8;76,8;88,3;87,7;85,2;Ekskul_1;NA;Belum;Orang Tua;2007;Karawang;Tidak;Ya;6;DKV
Abdul Mann;Wanita;85,8;80;73,2;67,1;71,8;71,3;83,5;68,8;68,5;87,3;Ekskul_3;Kos;Bekerja;Beasiswa;2008;Jakarta;Tidak;Ya;6;FTI
Abdul Mccormick;Pria;68,5;61,6;NA;81;67,1;82,1;68,9;77,9;79;79,8;Ekskul_2;Kos;Belum;Orang Tua;2008;Jakarta;UKM_2;Ya;7;FISIP
Abdul Mcneill;Pria;84,7;63,5;63,3;66,5;82,5;65,4;72,6;73,2;73;NA;Ekskul_1;Kos;Bekerja;NA;2009;Jakarta;UKM_3;Tidak;3,5;FTI
Abdul Morley;Wanita;68,5;79,5;65,7;87,7;86,5;77,8;81,7;86,7;64;67,7;Tidak;NA;Bekerja;Beasiswa;2007;Bogor;UKM_1;Ya;5;DKV
Abdul Newman;Wanita;66,3;80,7;81,2;81,2;63;76,9;67,8;82,6;67,2;76;Ekskul_6;Kos;Belum;Beasiswa;2009;Tangerang;UKM_4;Tidak;5,5;DKV
Abdul Nielson;Pria;80,7;86,5;74,4;68,1;67,6;82,1;71,3;79,2;85,4;66,5;Ekskul_6;NA;Bekerja;Beasiswa;2007;Tangerang;UKM_1;Ya;7;FISIP
Abdul Notman;Pria;80;73,1;84,1;79,1;73,5;68,7;73,7;81,6;65,3;72;Tidak;Kos;Belum;NA;2008;Jakarta;Tidak;Ya;5,5;FT
Abdul Oatway;Wanita;68,3;71,4;69,2;84,3;75,4;63,7;67,9;80,4;61;77,4;Ekskul_4;Orang Tua;Bekerja;Beasiswa;2008;Karawang;UKM_1;Tidak;4;FIKOM
Abdul Pickard;Pria;61,7;77,3;77,3;72,8;69,8;80,7;63,8;76,9;70,5;82,9;Ekskul_3;NA;Bekerja;NA;2007;Jakarta;UKM_2;Ya;4,5;DKV
Abdul Plant;Wanita;73,3;64;78,4;67,4;83,3;88,3;65,8;61,7;66,8;80,3;Ekskul_5;NA;Belum;NA;2007;Tangerang;UKM_2;Tidak;3,5;FIKOM
Abdul Price;Pria;71,6;87,1;65,6;61;77,8;76,4;77,6;69,1;65,2;69,1;Ekskul_2;NA;Bekerja;Beasiswa;2007;Bekasi;UKM_2;Tidak;7;FISIP
Abdul Redden;Pria;64,9;64,4;66,6;67,5;62,5;73,6;80,4;67;87,6;71,9;Ekskul_6;Kos;Belum;NA;2008;Karawang;Tidak;Ya;6,5;FT
Abdul Richardson;Wanita;80,5;73,6;82;73,4;77,9;69,1;61,4;60,4;63,5;86,9;Ekskul_4;Kos;Bekerja;NA;2008;Karawang;Tidak;Ya;4;DKV
Abdul Rixon;Wanita;61,1;62,2;76,4;69;72,6;73,6;70;61;70,2;66,2;Ekskul_6;NA;Belum;Orang Tua;2008;Bekasi;Tidak;Tidak;6;FISIP
Abdul Robinson;Pria;63,5;67,2;64,3;67,8;84;65;62,7;71,1;66,3;87,3;Ekskul_4;Kos;Belum;Beasiswa;2009;Tangerang;UKM_4;Tidak;6,5;FIKOM
Abdul Roman;Pria;88,5;60,2;83,9;64,6;70;65,6;61;85,9;63,9;87,4;Ekskul_1;Kos;Belum;Beasiswa;2009;Serang;UKM_3;Ya;4,5;FISIP
Abdul Rycroft;Wanita;67,3;76,2;83,7;84,2;85,7;73,9;74,9;71,3;70,4;NA;Ekskul_2;Orang Tua;Bekerja;NA;2008;Karawang;UKM_3;Ya;5;FTI
Abdul Selby;Pria;62,8;60,1;71,3;83,1;66,9;83,4;74,9;86,2;86,1;67,9;Tidak;Orang Tua;Belum;NA;2009;Jakarta;UKM_3;Ya;6;FISIP
Abdul Smith;Pria;73,4;67,1;72,4;76,2;63,2;65,1;68;87,2;81,1;75;Ekskul_2;Orang Tua;Bekerja;Orang Tua;2008;Jakarta;UKM_1;Tidak;4;FTI
Abdul Squire;Wanita;75;65,5;67,5;82,4;87;86,3;70,5;75,2;68,7;72,4;Ekskul_6;NA;Belum;Orang Tua;2009;Tangerang;UKM_3;Tidak;5;DKV
Abdul Stewart;Wanita;79,9;65,2;87,1;85,8;75,1;67,2;73,8;67,7;74,6;77,2;Ekskul_4;Kos;Belum;Beasiswa;2007;Jakarta;UKM_3;Ya;3,5;FTI
Abdul Tobin;Pria;81,6;83,3;75,3;61,7;81,3;88,6;84;82,1;82,5;79,1;Ekskul_6;Kos;Belum;Beasiswa;2007;Tangerang;Tidak;Ya;5;DKV
Abdul Uttley;Wanita;82,1;87,3;69;87,9;88,3;69,6;67,7;79,4;86,8;62,2;Tidak;Kos;Bekerja;NA;2008;Jakarta;UKM_2;Tidak;7;FT
Abdul Vallory;Wanita;64;60,9;69;80,3;71,8;85,4;87,9;77,3;84,9;69,3;Ekskul_4;Orang Tua;Belum;Beasiswa;2007;Tangerang;UKM_4;Tidak;4;FTI
Abdul Veale;Wanita;80,4;82,7;72,7;65,7;65;74,9;74,8;87,2;70,3;83,5;Ekskul_4;Orang Tua;Belum;NA;2008;Karawang;UKM_2;Ya;6;FIKOM
Abdul Wade;Wanita;66,8;73,7;79,2;80,4;63;86,4;60,4;84;66,9;78,5;Ekskul_4;Kos;Belum;Orang Tua;2009;Karawang;Tidak;Tidak;5;FTI
Abdul Walker;Wanita;83;83;83,1;87,4;72,9;69,6;77,2;82;66,6;71,1;Ekskul_6;Orang Tua;Bekerja;Beasiswa;2009;Bogor;UKM_1;Tidak;3,5;FISIP
Abdul Watson;Wanita;62,6;70,4;82,7;69,8;73,1;87,6;81,6;65,4;66,9;71,6;Ekskul_5;Orang Tua;Bekerja;Beasiswa;2007;Jakarta;UKM_4;Tidak;5,5;FIKOM
Abdul Wooldridge;Pria;64,3;61,2;82,5;77,9;67,3;88,2;62,8;87,9;86,1;76;Tidak;Kos;Belum;Beasiswa;2009;Bekasi;UKM_4;Ya;3,5;FTI
Abdul Wright;Pria;65,2;63,8;61,1;62,4;70,2;61,5;61,5;60,9;76;80,8;Ekskul_2;Kos;Bekerja;NA;2007;Jakarta;UKM_4;Tidak;3,5;FIKOM
Abdul York;Pria;65,2;75,8;77,1;63,3;83,5;66,9;84,8;66;86,6;72,7;Ekskul_2;Orang Tua;Belum;NA;2009;Tangerang;UKM_3;Tidak;6,5;FTI
Ada Casey;Wanita;83,4;88,2;81,4;65,9;72,7;62;60,7;76,7;76,7;81,7;Ekskul_4;NA;Bekerja;Beasiswa;2009;Bekasi;UKM_1;Ya;7;FTI
Ada Craig;Pria;81,7;76,1;74,7;86,8;88,6;71,9;66,9;64;75,2;84,9;Ekskul_5;NA;Bekerja;Orang Tua;2009;Bogor;UKM_3;Ya;5,5;FISIP
Ada Gibbons;Pria;70,4;80,1;76,1;71,8;73,9;82,7;62,6;81,1;86,2;71,7;Ekskul_5;Orang Tua;Belum;Orang Tua;2007;Tangerang;UKM_1;Ya;5;FIKOM
Ada Lakey;Pria;66,1;88;76,8;66,6;80,3;65,4;65,4;63,6;64,7;71,9;Ekskul_1;Orang Tua;Bekerja;Beasiswa;2009;Serang;UKM_1;Ya;7;FT
Ada Neville;Pria;84,2;73,3;75,9;63,5;77,5;68,5;69,5;62,9;68,3;NA;Ekskul_6;Orang Tua;Bekerja;Beasiswa;2008;Jakarta;UKM_1;Tidak;7;DKV
Ada Robertson;Pria;78,5;80,3;70,1;61,9;83,1;82,6;80,6;77,4;85,7;61,7;Ekskul_4;Orang Tua;Bekerja;Orang Tua;2007;Bogor;UKM_1;Tidak;5,5;DKV
Ada Thomas;Wanita;75,7;84,7;65,1;80,5;80;62,3;83,6;63,3;61,6;72,2;Ekskul_3;NA;Belum;Beasiswa;2008;Bogor;Tidak;Ya;5,5;FTI
Ada Vince;Wanita;62,6;81;84,3;76,5;75,5;77,4;60,4;67,6;70,8;87,6;Tidak;Kos;Belum;NA;2007;Jakarta;UKM_2;Ya;7;FTI
Ada Whatson;Wanita;69,9;73,5;66,5;73,4;82;76,7;74,2;84,7;67,8;76,7;Tidak;Kos;Bekerja;Orang Tua;2009;Bogor;UKM_4;Ya;5,5;FISIP
Adalie Ellis;Wanita;73,8;76,4;86,8;66,5;67,7;77,8;70;69,6;73,6;64,4;Ekskul_4;Orang Tua;Belum;Orang Tua;2008;Jakarta;UKM_3;Tidak;6;FT
Adalie Harris;Wanita;83,7;67,5;85,3;67,3;84,2;86,4;65;82,4;72,9;70,1;Ekskul_5;Orang Tua;Bekerja;Beasiswa;2009;Karawang;Tidak;Ya;6,5;FISIP
Adalie Hilton;Wanita;84,5;73,8;65,7;72;76,5;69,4;71,2;75,5;NA;78,1;Ekskul_6;NA;Bekerja;Beasiswa;2009;Bogor;Tidak;Ya;5,5;DKV
Adalie Oliver;Wanita;76,7;71,7;61,4;63,9;65,6;64,9;79;65,7;75,2;69,1;Ekskul_2;Orang Tua;Bekerja;NA;2008;Bogor;UKM_2;Ya;4;FT
Adalie Patel;Pria;71,2;62,3;60,9;64,2;80;66,7;85,4;86,8;68,7;75,4;Ekskul_3;Kos;Bekerja;Beasiswa;2008;Tangerang;UKM_1;Ya;4,5;FT
Adalie Reid;Wanita;73,1;80,3;84;77,7;83,3;71,8;78,7;76,9;64,5;78,7;Ekskul_6;Kos;Bekerja;Beasiswa;2008;Serang;UKM_2;Ya;6,5;FTI
Adalie Richardson;Wanita;86;62,1;87,5;62;60,3;83,1;64,8;80,5;81,6;70,7;Ekskul_6;NA;Belum;NA;2007;Bogor;Tidak;Ya;3,5;DKV
Adalie Vaughn;Wanita;80,9;76,8;60,5;85,2;73,9;72;64,6;75,2;73,2;64,4;Ekskul_4;Kos;Bekerja;Orang Tua;2009;Bogor;UKM_3;Tidak;5;FISIP
Adalie Ventura;Pria;82,4;73,7;82,2;85,7;87;80,3;81,1;66,2;75,3;77,4;Tidak;NA;Bekerja;Orang Tua;2008;Bekasi;UKM_3;Ya;5,5;FT
Adalie Wade;Pria;61,7;88,6;75,7;61,6;82,8;73,4;67,3;69,6;76,7;86,9;Ekskul_4;Kos;Bekerja;Beasiswa;2009;Karawang;UKM_3;Ya;6,5;DKV
Adalie Warner;Wanita;75,6;76,8;63,4;69,3;63,9;81;72,3;77,5;63,5;76,6;Tidak;Kos;Bekerja;Beasiswa;2008;Tangerang;UKM_1;Tidak;7;FISIP
Adalie Wren;Pria;79,9;67,9;84,1;66,4;62,4;83,7;70,2;73,4;69,7;60,9;Ekskul_6;NA;Bekerja;Orang Tua;2007;Bekasi;Tidak;Ya;5;FTI
Adalind Ashwell;Pria;69,6;65,7;72,6;80,4;84;68,5;65,2;68,6;NA;86,8;Ekskul_2;NA;Bekerja;Orang Tua;2008;Bogor;UKM_2;Tidak;5;FISIP
Adalind Bell;Wanita;70,9;82,1;64;88,2;73,8;88,3;74,3;62,1;82,4;84,4;Ekskul_4;NA;Bekerja;NA;2009;Tangerang;UKM_1;Ya;3,5;FISIP
Adalind Bryant;Pria;66,7;69,4;82,3;77,5;72,2;67;86,1;70,8;60,2;74,1;Ekskul_3;Kos;Bekerja;NA;2009;Jakarta;Tidak;Ya;3,5;FTI
Adalind Butler;Pria;77,9;76,3;61,9;80,2;78,2;72,2;85,5;86,7;80,4;60,4;Ekskul_5;Kos;Belum;NA;2009;Bogor;UKM_2;Ya;4,5;FT
Adalind Camden;Pria;79,7;78,3;80,8;80,8;87,7;73,4;80;88,1;73,8;73,1;Ekskul_5;Kos;Bekerja;Beasiswa;2008;Karawang;UKM_4;Ya;3,5;FTI
Adalind Cunningham;Pria;76;84;77,2;84,4;74,5;86;77,5;66,6;80,9;63,8;Ekskul_4;Orang Tua;Belum;Beasiswa;2007;Karawang;UKM_4;Ya;4,5;FISIP
Adalind Dixon;Pria;64,7;87,4;60,9;68,1;88;72,3;77,4;82,8;87,6;69,5;Ekskul_3;NA;Bekerja;Orang Tua;2009;Serang;UKM_2;Tidak;4;FISIP
Adalind Fleming;Pria;78,9;74;73,5;68;74,1;68,2;62,9;78,4;83,4;79,4;Tidak;Orang Tua;Belum;NA;2009;Tangerang;UKM_3;Ya;6;FISIP
Adalind Freeburn;Pria;75,9;83,8;85,9;68,4;76,7;81,3;83,3;81,5;83,2;78,7;Tidak;Kos;Belum;Orang Tua;2009;Bekasi;UKM_3;Tidak;7;DKV
Adalind Gordon;Pria;79,2;80,9;61,2;76,7;61,2;71,6;65,5;78;70,1;75,9;Ekskul_4;NA;Bekerja;Orang Tua;2009;Serang;UKM_4;Tidak;7;DKV
Adalind Henderson;Wanita;80,6;66,2;83,8;78,5;86,8;84,4;64,3;68,7;61,3;64;Ekskul_2;NA;Belum;Beasiswa;2009;Tangerang;UKM_1;Tidak;4,5;FISIP
Adalind Mackenzie;Wanita;70,1;65,2;68,8;80,6;82,1;75;77,1;67,9;80,6;83,4;Ekskul_4;Kos;Bekerja;Orang Tua;2007;Tangerang;UKM_4;Ya;6,5;FT
Adalind Moore;Wanita;65,4;66,9;78,8;74,6;60,7;79,3;62,5;69,9;78,3;88;Ekskul_4;NA;Bekerja;Beasiswa;2007;Bogor;UKM_1;Ya;6,5;FT
Adalind Neville;Pria;75;65,6;87,7;74;63,7;64,7;60,1;87,6;80,9;78;Ekskul_5;NA;Belum;Beasiswa;2008;Karawang;UKM_4;Tidak;6,5;FTI
Adalind Parker;Pria;81,4;60,6;60,5;87,6;88;88;74,7;74,3;85,8;74,9;Ekskul_1;Orang Tua;Bekerja;Beasiswa;2009;Bogor;UKM_2;Ya;7;FT
Adalind Richards;Wanita;66,2;77,7;86;64,2;86,4;66,8;84,5;87,7;77;76,5;Tidak;NA;Belum;NA;2008;Bekasi;UKM_3;Tidak;4,5;DKV
Adalind Victor;Wanita;60,3;78,6;82,9;76,1;71,5;83,8;78;65;71,2;81,5;Ekskul_4;Orang Tua;Bekerja;Beasiswa;2008;Bekasi;UKM_3;Tidak;7;FT
Adalind Warden;Wanita;70,5;81,6;84,1;77,7;65,9;72,5;82,5;77,2;72,7;85,2;Tidak;Orang Tua;Belum;Orang Tua;2009;Jakarta;UKM_3;Ya;5;DKV
Adela Butler;Wanita;68,6;86,7;86,2;84,9;77,5;63,6;75,3;63,1;82,2;87,4;Tidak;NA;Belum;NA;2007;Karawang;UKM_2;Ya;5,5;FT
Adela Chadwick;Pria;78,6;86,5;65,7;63,8;72,4;62,8;79,9;75,6;73,4;77,7;Tidak;Orang Tua;Belum;NA;2008;Tangerang;Tidak;Tidak;5;FIKOM
Adela Hastings;Pria;61,7;69,6;62,5;79,1;71,5;77,7;75,8;86,1;62,6;60,3;Ekskul_1;Orang Tua;Belum;Beasiswa;2008;Bekasi;Tidak;Tidak;4;DKV
Adela Hunt;Wanita;81,9;73,7;78,6;66,2;70,1;73;67,4;69,1;75,6;63,1;Ekskul_4;Kos;Bekerja;NA;2008;Bekasi;UKM_3;Tidak;4;FT
Adela Lloyd;Pria;73,2;81;73;63,9;86,3;81,8;79,9;83,1;72,4;81,7;Ekskul_1;Kos;Bekerja;NA;2007;Bogor;UKM_1;Ya;5,5;DKV
Adela Ranks;Wanita;68,6;77;63,9;80,3;67,4;87,7;76,6;72,1;74,7;72,2;Ekskul_6;Kos;Belum;Orang Tua;2009;Serang;UKM_2;Tidak;3,5;DKV
Adela Russell;Wanita;64,1;64,6;79,8;84,5;73,8;69,2;60,4;61,3;68,4;74;Ekskul_6;Kos;Bekerja;NA;2008;Bekasi;UKM_4;Ya;3,5;FIKOM
Adela Saunders;Wanita;69,1;62,5;72,4;85,7;84,2;74,7;75,5;67,3;73;87,3;Ekskul_3;Orang Tua;Belum;Orang Tua;2009;Serang;UKM_1;Tidak;6;FTI
Adela Stanley;Wanita;85,1;76,4;87,5;69,2;80,3;80,3;67,7;87,8;85,7;80,9;Tidak;NA;Belum;NA;2008;Karawang;UKM_3;Tidak;5;FIKOM
Adelaide Drummond;Wanita;60,8;62,7;82,9;86,2;78,5;86,1;62,9;67,2;68,8;68,8;Ekskul_3;Orang Tua;Belum;NA;2007;Karawang;UKM_3;Tidak;3,5;DKV
Adelaide Evans;Pria;69,6;64,2;82,2;66,6;71,6;69,1;74,9;79,3;78,9;71,1;Ekskul_6;Kos;Belum;NA;2009;Karawang;Tidak;Tidak;4;FISIP
Adelaide Farrant;Wanita;87,7;87,1;84,3;83,8;80,4;65,5;70,5;63;78,5;67,4;Ekskul_3;Kos;Belum;Orang Tua;2009;Bogor;UKM_1;Tidak;5,5;FT
Adelaide Hooper;Pria;78,4;83,4;NA;68,1;83;70,8;65,3;64,4;77,4;72,2;Ekskul_6;Kos;Bekerja;Beasiswa;2008;Tangerang;Tidak;Tidak;6,5;FISIP
Adelaide Matthews;Wanita;72;82,9;67;76,9;74,7;79,7;88,4;64,6;81,4;81,4;Ekskul_4;Orang Tua;Bekerja;Beasiswa;2007;Jakarta;Tidak;Tidak;5;FTI
Adelaide Oakley;Pria;61,8;60,9;82,9;70,3;79,4;72;75,6;74,1;68,7;84,6;Ekskul_1;NA;Bekerja;Orang Tua;2008;Bogor;UKM_1;Tidak;5;FIKOM
Adelaide Quinnell;Pria;81,9;84,1;78,1;87,8;76,7;88,6;83,3;88,5;76,1;78,3;Ekskul_4;Kos;Bekerja;NA;2008;Serang;UKM_2;Tidak;5,5;FISIP
Adelaide Villiger;Wanita;60,8;73,5;63,5;66,1;72,9;76,6;83,3;66,2;81,8;78,7;Ekskul_3;NA;Belum;Beasiswa;2009;Karawang;UKM_4;Ya;3,5;FTI
Adeline Adams;Wanita;60,3;84;87,9;79,9;81,7;87,6;75,8;86;87,4;62,3;Ekskul_5;NA;Bekerja;Beasiswa;2009;Karawang;UKM_1;Ya;5;DKV
Adeline Morley;Wanita;74;63;85;85,6;82,5;78,1;75,5;74,5;83,2;70,8;Ekskul_3;Orang Tua;Bekerja;Beasiswa;2009;Bekasi;UKM_4;Ya;7;FT
Adeline Nelson;Pria;73,5;80,8;78,1;74,5;66,7;75,5;71,8;80;75,2;63,5;Ekskul_1;NA;Belum;NA;2007;Jakarta;UKM_2;Tidak;5;FT
Adeline Newman;Wanita;87;76,5;64,8;83,4;60,1;75;75,6;65,6;85,8;87;Ekskul_6;Orang Tua;Belum;NA;2007;Karawang;UKM_1;Tidak;4,5;FISIP
Adeline Simpson;Pria;62,6;64,9;74,6;65,8;67,9;84,4;71,5;84,7;70,2;64,7;Ekskul_6;NA;Belum;Beasiswa;2008;Bogor;UKM_4;Tidak;4;DKV
Adeline Varley;Wanita;73;82,1;76,1;72,8;67,4;65;66,7;78,5;65,4;61,4;Ekskul_1;NA;Bekerja;Beasiswa;2007;Serang;UKM_2;Ya;4,5;FIKOM
Adina Avery;Wanita;87,7;86;69,3;60,1;73,7;67,8;69,6;77,4;75,4;79,5;Ekskul_3;Kos;Bekerja;NA;2008;Bogor;UKM_4;Ya;4,5;FT
Adina Bailey;Pria;81,7;65,7;73;68,3;65,3;73,4;85,2;68,8;84,8;68,4;Ekskul_3;Kos;Bekerja;NA;2008;Serang;UKM_1;Ya;5,5;FTI
Adina Chappell;Wanita;65;71,9;69,1;64,8;72,3;79,6;69,3;70,3;87,1;71;Ekskul_4;Orang Tua;Belum;Orang Tua;2008;Bekasi;UKM_2;Tidak;5;FIKOM
Adina Collins;Pria;88;85,5;62,3;84,7;83,5;78;63,5;70,5;68,8;84,7;Ekskul_2;Kos;Belum;Beasiswa;2007;Karawang;UKM_1;Ya;5;FT
Adina Faulkner;Pria;80,6;80,6;86,7;83,6;77,3;74,1;61,3;73,6;67,1;84,7;Ekskul_4;Kos;Belum;Orang Tua;2009;Tangerang;UKM_2;Tidak;5;FT
Adina Forth;Wanita;72,2;67;86,6;75,5;74,1;77,1;68,8;79,4;71;84,6;Tidak;NA;Bekerja;NA;2009;Karawang;UKM_1;Ya;4,5;FISIP
Adina Gray;Wanita;78;69,7;82,3;63,8;85,7;76,4;83,4;85,4;64,2;86,5;Ekskul_6;NA;Belum;Orang Tua;2009;Karawang;UKM_3;Tidak;6;DKV
Adina Jobson;Wanita;84,8;87,3;88,6;73,8;84,5;85,4;61,7;84,7;82,4;64,6;Ekskul_1;Orang Tua;Belum;Beasiswa;2009;Karawang;UKM_1;Ya;6;FISIP
Adina Kelly;Pria;72,2;81,1;69,4;81,3;88,6;83,7;76;65;66,1;80,6;Ekskul_3;NA;Bekerja;Orang Tua;2008;Tangerang;UKM_1;Ya;5,5;FTI
Adina Mason;Pria;78,9;67,7;81,1;70;80,5;72,7;65,7;77,9;75,5;82;Ekskul_2;NA;Belum;Orang Tua;2007;Tangerang;Tidak;Ya;5,5;DKV
Adina Morris;Pria;83,4;65,1;NA;77,1;81,8;85,3;60,4;60,7;74,7;82,3;Ekskul_1;NA;Bekerja;Beasiswa;2009;Karawang;UKM_2;Tidak;5,5;FISIP
Adina Morrison;Pria;70,5;74,8;87,4;66,2;72,2;82,9;81,6;68,4;75,9;88,1;Ekskul_3;Orang Tua;Bekerja;NA;2008;Karawang;UKM_1;Ya;4;FT
Adina Parsons;Wanita;87,2;77,9;61;72,8;81,8;80,5;67,3;85,1;74;69;Ekskul_3;Kos;Belum;Beasiswa;2007;Bogor;UKM_1;Ya;4;FTI
